Class,_Fluctuation_Mean,_MFCC_Mean_2,_MFCC_Mean_4,_MFCC_Mean_7,_Roughness_Mean,_Roughness_Slope,_Zero-crossingrate_Mean,_AttackTime_Mean,_Eventdensity_Mean,_Pulseclarity_Mean,_Chromagram_Mean_7,_HarmonicChangeDetectionFunction_Mean,_HarmonicChangeDetectionFunction_PeriodAmp
relax,9.136,0.363,0.078,-0.151,51.542,0.325,403.129,0.028,1.336,0.082,0.024,0.316,0.593
relax,6.68,0.516,0.397,-0.403,336.839,0.366,204.886,0.015,1.336,0.051,0.12,0.285,0.702
relax,10.578,0.903,0.329,-0.246,39.864,0.224,685.474,0.033,1.336,0.299,0.563,0.413,0.692
relax,10.442,1.552,0.351,0.047,353.744,0.215,579.859,0.029,2.105,0.121,0.276,0.422,0.743
relax,9.769,0.228,0.096,0.104,46.884,-0.118,430.536,0.04,1.37,0.208,0.135,0.345,0.674
relax,7.664,-0.082,0.033,-0.138,249.382,0.04,799.914,0.047,0.936,0.164,0.0,0.28,0.662
relax,7.483,1.171,0.358,0.115,336.252,0.272,323.755,0.052,1.303,0.157,0.137,0.21,0.691
relax,7.006,0.553,0.269,-0.002,293.372,0.345,478.257,0.021,2.071,0.123,0.359,0.366,0.711
relax,6.846,0.55,0.559,-0.196,737.908,0.38,402.43,0.022,1.704,0.163,0.0,0.322,0.796
relax,8.668,0.744,-0.116,0.147,215.057,0.185,826.605,0.037,1.27,0.223,0.0,0.388,0.627
relax,6.85,0.547,0.55,-0.197,685.05,0.337,402.879,0.023,1.671,0.113,0.0,0.319,0.807
relax,8.774,0.747,0.622,-0.444,182.241,0.086,874.842,0.021,2.773,0.162,0.619,0.47,0.812
relax,5.928,-0.32,0.012,-0.321,388.437,0.236,551.174,0.033,1.456,0.175,1.0,0.375,0.765
relax,8.58,0.211,0.657,-0.297,61.486,0.169,657.362,0.064,0.832,0.096,0.941,0.326,0.667
relax,6.203,0.024,0.248,0.105,39.363,0.005,1022.417,0.043,1.704,0.18,0.035,0.355,0.643
relax,8.026,0.484,0.269,-0.153,651.88,-0.074,560.395,0.031,1.671,0.182,0.0,0.297,0.741
relax,7.122,0.682,0.314,0.298,582.645,-0.013,520.1,0.031,1.504,0.169,0.009,0.364,0.758
relax,7.115,0.397,0.351,0.021,219.118,0.158,1302.348,0.031,1.737,0.139,0.605,0.4,0.78
relax,6.449,0.324,0.071,-0.083,110.173,0.263,611.246,0.055,1.236,0.089,0.002,0.344,0.689
relax,7.155,0.366,0.066,0.136,1545.974,0.093,1030.661,0.024,2.937,0.165,0.33,0.368,0.747
relax,7.344,0.805,0.598,-0.09,752.047,0.005,472.729,0.021,2.606,0.08,0.818,0.406,0.771
relax,5.49,-0.129,-0.289,-0.012,180.166,0.09,1829.275,0.028,3.308,0.265,0.247,0.387,0.807
relax,6.282,-0.323,-0.124,0.238,71.955,0.244,432.268,0.028,0.535,0.115,0.033,0.292,0.544
relax,5.938,0.753,-0.09,-0.205,544.329,0.092,1055.419,0.035,1.203,0.227,0.338,0.343,0.754
relax,7.76,0.801,0.453,-0.056,116.828,0.151,606.234,0.032,2.305,0.222,0.075,0.365,0.801
relax,5.944,0.357,-0.674,0.32,233.113,-0.133,453.897,0.031,1.303,0.198,0.266,0.289,0.667
relax,6.184,0.347,0.205,-0.187,654.388,0.363,420.379,0.036,1.537,0.057,0.0,0.255,0.736
relax,7.976,-0.271,0.329,-0.14,59.36,0.26,502.683,0.042,0.301,0.242,1.0,0.328,0.622
relax,8.807,0.644,0.007,0.325,800.582,-0.014,585.915,0.019,2.975,0.284,0.271,0.393,0.789
relax,10.02,1.153,-0.087,0.183,138.715,-0.023,503.682,0.03,1.737,0.103,0.151,0.395,0.689
relax,6.287,1.937,0.323,0.344,51.382,0.3,379.685,0.046,0.668,0.118,0.0,0.221,0.649
relax,9.588,0.174,0.522,0.078,373.142,0.387,468.466,0.027,1.604,0.164,0.243,0.369,0.787
relax,8.34,0.538,0.259,0.08,186.8,-0.006,338.624,0.042,2.138,0.252,0.393,0.392,0.689
